"FREQ";"Y";"r xyce/I(PR3)";"i xyce/I(PR3)"
-5e+10;0.00458621;-0.00767089;-0.00656764
0;0.00458621;5.49471e-11;0
5e+10;0.00458621;-0.00767089;0.00656764
1e+11;0.00458621;-0.00109922;-0.00220874
1.5e+11;0.00458621;-0.000466647;0.000160859
-1.5e+11;0.00472414;-0.000440439;-0.000212369
-1e+11;0.00472414;-0.00118969;0.00232474
-5e+10;0.00472414;-0.00771042;-0.00672741
0;0.00472414;1.78335e-10;0
5e+10;0.00472414;-0.00771042;0.00672741
1e+11;0.00472414;-0.00118969;-0.00232474
1.5e+11;0.00472414;-0.000440439;0.000212369
-1.5e+11;0.00486207;-0.000414293;-0.000261086
-1e+11;0.00486207;-0.0012756;0.00243743
-5e+10;0.00486207;-0.00775464;-0.00688331
0;0.00486207;-8.9041e-09;0
5e+10;0.00486207;-0.00775464;0.00688331
1e+11;0.00486207;-0.0012756;-0.00243743
1.5e+11;0.00486207;-0.000414293;0.000261086
-1.5e+11;0.005;-0.000385737;-0.000311843
-1e+11;0.005;-0.00136456;0.00255139
-5e+10;0.005;-0.0077907;-0.00704048
0;0.005;9.26641e-11;0
5e+10;0.005;-0.0077907;0.00704048
1e+11;0.005;-0.00136456;-0.00255139
1.5e+11;0.005;-0.000385737;0.000311843
