"FREQ";"Y";"r xyce/V(VOUT)";"i xyce/V(VOUT)"
0;0.00403448;-2.53549e-12;0
5e+10;0.00403448;-0.375847;0.29559
1e+11;0.00403448;-0.035344;-0.0861463
1.5e+11;0.00403448;-0.0276372;-0.00270907
-1.5e+11;0.00417241;-0.0268398;6.9296e-05
-1e+11;0.00417241;-0.0404099;0.0923264
-5e+10;0.00417241;-0.378026;-0.303795
0;0.00417241;4.42974e-11;0
5e+10;0.00417241;-0.378026;0.303795
1e+11;0.00417241;-0.0404099;-0.0923264
1.5e+11;0.00417241;-0.0268398;-6.9296e-05
-1.5e+11;0.00431034;-0.0258031;-0.00263991
-1e+11;0.00431034;-0.0453775;0.0984475
-5e+10;0.00431034;-0.379941;-0.312031
0;0.00431034;-7.25766e-10;0
5e+10;0.00431034;-0.379941;0.312031
1e+11;0.00431034;-0.0453775;-0.0984475
1.5e+11;0.00431034;-0.0258031;0.00263991
-1.5e+11;0.00444827;-0.0246089;-0.00536813
-1e+11;0.00444827;-0.0502472;0.104499
-5e+10;0.00444827;-0.381719;-0.320251
0;0.00444827;-1.40914e-08;0
5e+10;0.00444827;-0.381719;0.320251
1e+11;0.00444827;-0.0502472;-0.104499
1.5e+11;0.00444827;-0.0246089;0.00536813
-1.5e+11;0.00458621;-0.0233323;-0.00804293
-1e+11;0.00458621;-0.0549611;0.110437
-5e+10;0.00458621;-0.383545;-0.328382
0;0.00458621;5.48711e-09;0
5e+10;0.00458621;-0.383545;0.328382
1e+11;0.00458621;-0.0549611;-0.110437
1.5e+11;0.00458621;-0.0233323;0.00804293
-1.5e+11;0.00472414;-0.0220219;-0.0106184
-1e+11;0.00472414;-0.0594845;0.116237
-5e+10;0.00472414;-0.385521;-0.33637
0;0.00472414;1.78455e-08;0
5e+10;0.00472414;-0.385521;0.33637
1e+11;0.00472414;-0.0594845;-0.116237
1.5e+11;0.00472414;-0.0220219;0.0106184
-1.5e+11;0.00486207;-0.0207147;-0.0130543
-1e+11;0.00486207;-0.0637798;0.121871
-5e+10;0.00486207;-0.387732;-0.344165
0;0.00486207;-8.90248e-07;0
5e+10;0.00486207;-0.387732;0.344165
1e+11;0.00486207;-0.0637798;-0.121871
1.5e+11;0.00486207;-0.0207147;0.0130543
-1.5e+11;0.005;-0.0192869;-0.0155921
-1e+11;0.005;-0.068228;0.12757
-5e+10;0.005;-0.389535;-0.352024
0;0.005;-1.0412e-10;0
5e+10;0.005;-0.389535;0.352024
1e+11;0.005;-0.068228;-0.12757
1.5e+11;0.005;-0.0192869;0.0155921
