        f (GHz),            V_inc[1][1] (V),            Re{V[1][1]} (V),            Im{V[1][1]} (V),            Re{V[2][1]} (V),            Im{V[2][1]} (V),            Re{V[3][1]} (V),            Im{V[3][1]} (V),            Re{V[4][1]} (V),            Im{V[4][1]} (V),            V_inc[2][2] (V),            Re{V[1][2]} (V),            Im{V[1][2]} (V),            Re{V[2][2]} (V),            Im{V[2][2]} (V),            Re{V[3][2]} (V),            Im{V[3][2]} (V),            Re{V[4][2]} (V),            Im{V[4][2]} (V),            V_inc[3][3] (V),            Re{V[1][3]} (V),            Im{V[1][3]} (V),            Re{V[2][3]} (V),            Im{V[2][3]} (V),            Re{V[3][3]} (V),            Im{V[3][3]} (V),            Re{V[4][3]} (V),            Im{V[4][3]} (V),            V_inc[4][4] (V),            Re{V[1][4]} (V),            Im{V[1][4]} (V),            Re{V[2][4]} (V),            Im{V[2][4]} (V),            Re{V[3][4]} (V),            Im{V[3][4]} (V),            Re{V[4][4]} (V),            Im{V[4][4]} (V)
 2.51000000e+02,        +7.071067811865e+00,        +6.513240572056e+00,        -3.378783616398e-02,        +2.390645452161e-01,        +1.035646491783e-01,        +5.743484991448e+00,        -3.893534074688e+00,        +7.085257289851e-02,        +8.538116936956e-02,        +7.071067811865e+00,        +2.390645452161e-01,        +1.035646491783e-01,        +6.557759215846e+00,        -3.839915478108e-02,        +7.050640906266e-02,        +8.664633535103e-02,        +5.770698460707e+00,        -3.862579171590e+00,        +7.071067811865e+00,        +5.743484991448e+00,        -3.893534074688e+00,        +7.050640906265e-02,        +8.664633535104e-02,        +7.361389155715e+00,        -6.363909865844e-01,        +5.420782281655e-02,        +2.747569174141e-01,        +7.071067811865e+00,        +7.085257289853e-02,        +8.538116936957e-02,        +5.770698460707e+00,        -3.862579171590e+00,        +5.420782281658e-02,        +2.747569174142e-01,        +7.346505405234e+00,        -5.907395210144e-01
 2.56000000e+02,        +7.071067811865e+00,        +6.492994712429e+00,        -2.109499326104e-02,        +2.459211169939e-01,        +1.001056654843e-01,        +5.693725058788e+00,        -3.960480541303e+00,        +7.437277421831e-02,        +8.607091338081e-02,        +7.071067811865e+00,        +2.459211169939e-01,        +1.001056654843e-01,        +6.538798409521e+00,        -2.700145866141e-02,        +7.405086903461e-02,        +8.738721707123e-02,        +5.722047573042e+00,        -3.929279299792e+00,        +7.071067811865e+00,        +5.693725058788e+00,        -3.960480541303e+00,        +7.405086903463e-02,        +8.738721707128e-02,        +7.366265955272e+00,        -6.574384510509e-01,        +5.619642004394e-02,        +2.803608481787e-01,        +7.071067811865e+00,        +7.437277421833e-02,        +8.607091338081e-02,        +5.722047573042e+00,        -3.929279299792e+00,        +5.619642004397e-02,        +2.803608481787e-01,        +7.351109097989e+00,        -6.103529993383e-01
 2.61000000e+02,        +7.071067811865e+00,        +6.472727489678e+00,        -7.681486377803e-03,        +2.527378232579e-01,        +9.636833508292e-02,        +5.643063815844e+00,        -4.026787108388e+00,        +7.796785863839e-02,        +8.667689419904e-02,        +7.071067811865e+00,        +2.527378232579e-01,        +9.636833508293e-02,        +6.519800811178e+00,        -1.494228735719e-02,        +7.767296397581e-02,        +8.804411825714e-02,        +5.672516226505e+00,        -3.995367443625e+00,        +7.071067811865e+00,        +5.643063815844e+00,        -4.026787108388e+00,        +7.767296397581e-02,        +8.804411825714e-02,        +7.370946136783e+00,        -6.788562536839e-01,        +5.824225718308e-02,        +2.859653261213e-01,        +7.071067811865e+00,        +7.796785863842e-02,        +8.667689419901e-02,        +5.672516226505e+00,        -3.995367443625e+00,        +5.824225718311e-02,        +2.859653261212e-01,        +7.355531681927e+00,        -6.303142605789e-01
 2.66000000e+02,        +7.071067811865e+00,        +6.452460599702e+00,        +6.457315463720e-03,        +2.595051315549e-01,        +9.235165630018e-02,        +5.591507488623e+00,        -4.092438546579e+00,        +8.163685688008e-02,        +8.719601486917e-02,        +7.071067811865e+00,        +2.595051315549e-01,        +9.235165630016e-02,        +6.500785972340e+00,        -2.216915435455e-03,        +8.137177635729e-02,        +8.861378998021e-02,        +5.622110164220e+00,        -4.060829375688e+00,        +7.071067811865e+00,        +5.591507488623e+00,        -4.092438546579e+00,        +8.137177635729e-02,        +8.861378998027e-02,        +7.375416553131e+00,        -7.006428923828e-01,        +6.034606277240e-02,        +2.915694395259e-01,        +7.071067811865e+00,        +8.163685688007e-02,        +8.719601486916e-02,        +5.622110164220e+00,        -4.060829375688e+00,        +6.034606277242e-02,        +2.915694395259e-01,        +7.359760983164e+00,        -6.506220941586e-01
 2.71000000e+02,        +7.071067811865e+00,        +6.432215973590e+00,        +2.132546371387e-02,        +2.662133935235e-01,        +8.805489150193e-02,        +5.539062646479e+00,        -4.157419579870e+00,        +8.537869954912e-02,        +8.762515877287e-02,        +7.071067811865e+00,        +2.662133935234e-01,        +8.805489150194e-02,        +6.481773671043e+00,        +1.117887785350e-02,        +8.514628248018e-02,        +8.909295779673e-02,        +5.570835427632e+00,        -4.125650825521e+00,        +7.071067811865e+00,        +5.539062646479e+00,        -4.157419579870e+00,        +8.514628248022e-02,        +8.909295779673e-02,        +7.379664038014e+00,        -7.227964546399e-01,        +6.250853269793e-02,        +2.971722346049e-01,        +7.071067811865e+00,        +8.537869954912e-02,        +8.762515877282e-02,        +5.570835427632e+00,        -4.125650825521e+00,        +6.250853269794e-02,        +2.971722346048e-01,        +7.363784805455e+00,        -6.712749176252e-01
 2.76000000e+02,        +7.071067811865e+00,        +6.412015765077e+00,        +3.692642089982e-02,        +2.728528501477e-01,        +8.347757153223e-02,        +5.485736207307e+00,        -4.221714895924e+00,        +8.919221629357e-02,        +8.796119355142e-02,        +7.071067811865e+00,        +2.728528501477e-01,        +8.347757153223e-02,        +6.462783901977e+00,        +2.524880022943e-02,        +8.899535131077e-02,        +8.947832575908e-02,        +5.518698360722e+00,        -4.189817488009e+00,        +7.071067811865e+00,        +5.485736207307e+00,        -4.221714895924e+00,        +8.899535131079e-02,        +8.947832575911e-02,        +7.383675419843e+00,        -7.453146159028e-01,        +6.473032730982e-02,        +3.027727170604e-01,        +7.071067811865e+00,        +8.919221629360e-02,        +8.796119355144e-02,        +5.518698360722e+00,        -4.189817488009e+00,        +6.473032730983e-02,        +3.027727170603e-01,        +7.367590942569e+00,        -6.922707752322e-01
 2.81000000e+02,        +7.071067811865e+00,        +6.391882337686e+00,        +5.326305161405e-02,        +2.794136369911e-01,        +7.861949991983e-02,        +5.431535442250e+00,        -4.285309156657e+00,        +9.307613528527e-02,        +8.820097501769e-02,        +7.071067811865e+00,        +2.794136369911e-01,        +7.861949991983e-02,        +6.443836866437e+00,        +3.999603831291e-02,        +9.291774363594e-02,        +8.976658041544e-02,        +5.465705613810e+00,        -4.253315031992e+00,        +7.071067811865e+00,        +5.431535442250e+00,        -4.285309156657e+00,        +9.291774363593e-02,        +8.976658041546e-02,        +7.387437535719e+00,        -7.681946385253e-01,        +6.701206855685e-02,        +3.083698539006e-01,        +7.071067811865e+00,        +9.307613528527e-02,        +8.820097501766e-02,        +5.465705613810e+00,        -4.253315031992e+00,        +6.701206855685e-02,        +3.083698539005e-01,        +7.371167190726e+00,        -7.136073370312e-01
 2.86000000e+02,        +7.071067811865e+00,        +6.371838251622e+00,        +7.033761391293e-02,        +2.858857893670e-01,        +7.348075684793e-02,        +5.376467979886e+00,        -4.348187009052e+00,        +9.702908303582e-02,        +8.834135103121e-02,        +7.071067811865e+00,        +2.858857893670e-01,        +7.348075684795e-02,        +6.424952962103e+00,        +5.542324984982e-02,        +9.691211154631e-02,        +8.995439476771e-02,        +5.411864146936e+00,        -4.316129109035e+00,        +7.071067811865e+00,        +5.376467979886e+00,        -4.348187009052e+00,        +9.691211154627e-02,        +8.995439476768e-02,        +7.390937245490e+00,        -7.914333713257e-01,        +6.935433715344e-02,        +3.139625755216e-01,        +7.071067811865e+00,        +9.702908303583e-02,        +8.834135103124e-02,        +5.411864146936e+00,        -4.316129109035e+00,        +6.935433715345e-02,        +3.139625755216e-01,        +7.374501361099e+00,        -7.352818984897e-01
 2.91000000e+02,        +7.071067811865e+00,        +6.351906250448e+00,        +8.815175114961e-02,        +2.922592473988e-01,        +6.806170288774e-02,        +5.320541809877e+00,        -4.410333096154e+00,        +1.010495845582e-01,        +8.837916530732e-02,        +7.071067811865e+00,        +2.922592473989e-01,        +6.806170288776e-02,        +6.406152772692e+00,        +7.153255624590e-02,        +1.009769982527e-01,        +9.003843215884e-02,        +5.357181232776e+00,        -4.378245362324e+00,        +7.071067811865e+00,        +5.320541809877e+00,        -4.410333096154e+00,        +1.009769982527e-01,        +9.003843215881e-02,        +7.394161445829e+00,        -8.150272497673e-01,        +7.175766979584e-02,        +3.195497780689e-01,        +7.071067811865e+00,        +1.010495845582e-01,        +8.837916530732e-02,        +5.357181232776e+00,        -4.378245362324e+00,        +7.175766979587e-02,        +3.195497780689e-01,        +7.377581292328e+00,        -7.572913806519e-01
 2.96000000e+02,        +7.071067811865e+00,        +6.332109247619e+00,        +1.067064842627e-01,        +2.985238609198e-01,        +6.236298250189e-02,        +5.263765286021e+00,        -4.471732068212e+00,        +1.051360638852e-01,        +8.831126112843e-02,        +7.071067811865e+00,        +2.985238609198e-01,        +6.236298250190e-02,        +6.387457057543e+00,        +8.832553542316e-02,        +1.051108382425e-01,        +9.001535005847e-02,        +5.301664459061e+00,        -4.439649435651e+00,        +7.071067811865e+00,        +5.263765286021e+00,        -4.471732068212e+00,        +1.051108382426e-01,        +9.001535005846e-02,        +7.397097084315e+00,        -8.389722967747e-01,        +7.422255644767e-02,        +3.251303260935e-01,        +7.071067811865e+00,        +1.051360638852e-01,        +8.831126112843e-02,        +5.301664459061e+00,        -4.439649435651e+00,        +7.422255644764e-02,        +3.251303260935e-01,        +7.380394863050e+00,        -7.796323308552e-01
 3.01000000e+02,        +7.071067811865e+00,        +6.312470312918e+00,        +1.260022045368e-01,        +3.046693941575e-01,        +5.638552732882e-02,        +5.206147128707e+00,        -4.532368593893e+00,        +1.092868449562e-01,        +8.813448492122e-02,        +7.071067811865e+00,        +3.046693941575e-01,        +5.638552732882e-02,        +6.368886741171e+00,        +1.058032150110e-01,        +1.093119577814e-01,        +8.988180371224e-02,        +5.245321730495e+00,        -4.500326982426e+00,        +7.071067811865e+00,        +5.206147128707e+00,        -4.532368593893e+00,        +1.093119577814e-01,        +8.988180371225e-02,        +7.399731173474e+00,        -8.632641241972e-01,        +7.674943771845e-02,        +3.307030555184e-01,        +7.071067811865e+00,        +1.092868449562e-01,        +8.813448492122e-02,        +5.245321730495e+00,        -4.500326982426e+00,        +7.674943771844e-02,        +3.307030555184e-01,        +7.382930004405e+00,        -8.023009240182e-01
 3.06000000e+02,        +7.071067811865e+00,        +6.293012658888e+00,        +1.460386668457e-01,        +3.106855301470e-01,        +5.013055926567e-02,        +5.147696426734e+00,        -4.592227371524e+00,        +1.135001528833e-01,        +8.784568965877e-02,        +7.071067811865e+00,        +3.106855301470e-01,        +5.013055926568e-02,        +6.350462902876e+00,        +1.239660658760e-01,        +1.135785757674e-01,        +8.963444961832e-02,        +5.188161270129e+00,        -4.560263674677e+00,        +7.071067811865e+00,        +5.147696426734e+00,        -4.592227371524e+00,        +1.135785757675e-01,        +8.963444961832e-02,        +7.402050804752e+00,        -8.878979349266e-01,        +7.933870236352e-02,        +3.362667769310e-01,        +7.071067811865e+00,        +1.135001528833e-01,        +8.784568965874e-02,        +5.188161270129e+00,        -4.560263674677e+00,        +7.933870236350e-02,        +3.362667769310e-01,        +7.385174712486e+00,        -8.252929645130e-01
 3.11000000e+02,        +7.071067811865e+00,        +6.273759627330e+00,        +1.668149833785e-01,        +3.165618748128e-01,        +4.359959337205e-02,        +5.088422638484e+00,        -4.651293140284e+00,        +1.177741156077e-01,        +8.744173804081e-02,        +7.071067811865e+00,        +3.165618748128e-01,        +4.359959337205e-02,        +6.332206766461e+00,        +1.428139959912e-01,        +1.179088049447e-01,        +8.926994878917e-02,        +5.130191620193e+00,        -4.619445211970e+00,        +7.071067811865e+00,        +5.088422638484e+00,        -4.651293140284e+00,        +1.179088049447e-01,        +8.926994878917e-02,        +7.404043162378e+00,        -9.128685256786e-01,        +8.199068493802e-02,        +3.418202792163e-01,        +7.071067811865e+00,        +1.177741156077e-01,        +8.744173804082e-02,        +5.130191620193e+00,        -4.619445211970e+00,        +8.199068493804e-02,        +3.418202792163e-01,        +7.387117060709e+00,        -8.486038886375e-01
 3.16000000e+02,        +7.071067811865e+00,        +6.254734675958e+00,        +1.883296178403e-01,        +3.222879606536e-01,        +3.679444062324e-02,        +5.028335592453e+00,        -4.709550691281e+00,        +1.221067659534e-01,        +8.691950539852e-02,        +7.071067811865e+00,        +3.222879606535e-01,        +3.679444062327e-02,        +6.314139690149e+00,        +1.623463446342e-01,        +1.223006534828e-01,        +8.878496975068e-02,        +5.071421642364e+00,        -4.677857330187e+00,        +7.071067811865e+00,        +5.028335592453e+00,        -4.709550691281e+00,        +1.223006534828e-01,        +8.878496975067e-02,        +7.405695537071e+00,        -9.381702904444e-01,        +8.470566364252e-02,        +3.473623335436e-01,        +7.071067811865e+00,        +1.221067659534e-01,        +8.691950539852e-02,        +5.071421642364e+00,        -4.677857330187e+00,        +8.470566364252e-02,        +3.473623335436e-01,        +7.388745212073e+00,        -8.722287677016e-01
 3.21000000e+02,        +7.071067811865e+00,        +6.235961365313e+00,        +2.105803801064e-01,        +3.278532499615e-01,        +2.971721054792e-02,        +4.967445487108e+00,        -4.766984878449e+00,        +1.264960440848e-01,        +8.627588226295e-02,        +7.071067811865e+00,        +3.278532499615e-01,        +2.971721054790e-02,        +6.296283156788e+00,        +1.825618768918e-01,        +1.267520269269e-01,        +8.817619122277e-02,        +5.011860517473e+00,        -4.735485810101e+00,        +7.071067811865e+00,        +4.967445487108e+00,        -4.766984878449e+00,        +1.267520269269e-01,        +8.817619122277e-02,        +7.406995339573e+00,        -9.637972246219e-01,        +8.748385840245e-02,        +3.528916977169e-01,        +7.071067811865e+00,        +1.264960440849e-01,        +8.627588226295e-02,        +5.011860517473e+00,        -4.735485810101e+00,        +8.748385840248e-02,        +3.528916977169e-01,        +7.390047431256e+00,        -8.961623117433e-01
 3.26000000e+02,        +7.071067811865e+00,        +6.217463346024e+00,        +2.335644212945e-01,        +3.332471375005e-01,        +2.237031379315e-02,        +4.905762890105e+00,        -4.823580629173e+00,        +1.309398003673e-01,        +8.550777652836e-02,        +7.071067811865e+00,        +3.332471375005e-01,        +2.237031379316e-02,        +6.278658764441e+00,        +2.034587784392e-01,        +1.312607305198e-01,        +8.744030441808e-02,        +4.951517744650e+00,        -4.792316485660e+00,        +7.071067811865e+00,        +4.905762890105e+00,        -4.823580629173e+00,        +1.312607305198e-01,        +8.744030441809e-02,        +7.407930113944e+00,        -9.897429298351e-01,        +9.032542922704e-02,        +3.584071208962e-01,        +7.071067811865e+00,        +1.309398003673e-01,        +8.550777652837e-02,        +4.951517744650e+00,        -4.792316485660e+00,        +9.032542922703e-02,        +3.584071208961e-01,        +7.391012096520e+00,        -9.203988738891e-01
 3.31000000e+02,        +7.071067811865e+00,        +6.199264346544e+00,        +2.572782292065e-01,        +3.384589525584e-01,        +1.475646466967e-02,        +4.843298736852e+00,        -4.879322954575e+00,        +1.354357986246e-01,        +8.461211513432e-02,        +7.071067811865e+00,        +3.384589525584e-01,        +1.475646466967e-02,        +6.261288217457e+00,        +2.250346505404e-01,        +1.358244718923e-01,        +8.657401488468e-02,        +4.890403139900e+00,        -4.848335251926e+00,        +7.071067811865e+00,        +4.843298736852e+00,        -4.879322954575e+00,        +1.358244718923e-01,        +8.657401488469e-02,        +7.408487550580e+00,        -1.016000619453e+00,        +9.323047489783e-02,        +3.639073486935e-01,        +7.071067811865e+00,        +1.354357986246e-01,        +8.461211513436e-02,        +4.890403139900e+00,        -4.848335251926e+00,        +9.323047489784e-02,        +3.639073486935e-01,        +7.391627711372e+00,        -9.449324553748e-01
 3.36000000e+02,        +7.071067811865e+00,        +6.181388161456e+00,        +2.817176240745e-01,        +3.434779602837e-01,        +6.878683742355e-03,        +4.780064328436e+00,        -4.934196959370e+00,        +1.399817197811e-01,        +8.358584518221e-02,        +7.071067811865e+00,        +3.434779602837e-01,        +6.878683742346e-03,        +6.244193318144e+00,        +2.472865052055e-01,        +1.404408641090e-01,        +8.557404381165e-02,        +4.828526834138e+00,        -4.903528072565e+00,        +7.071067811865e+00,        +4.780064328436e+00,        -4.934196959370e+00,        +1.404408641090e-01,        +8.557404381168e-02,        +7.408655498902e+00,        -1.042563124818e+00,        +9.619903203944e-02,        +3.693911286434e-01,        +7.071067811865e+00,        +1.399817197812e-01,        +8.358584518220e-02,        +4.828526834138e+00,        -4.903528072565e+00,        +9.619903203948e-02,        +3.693911286434e-01,        +7.391882915921e+00,        -9.697567112394e-01
 3.41000000e+02,        +7.071067811865e+00,        +6.163858640470e+00,        +3.068777545273e-01,        +3.482933622058e-01,        -1.259699452369e-03,        +4.716071328944e+00,        -4.988187851201e+00,        +1.445751658645e-01,        +8.242593439473e-02,        +7.071067811865e+00,        +3.482933622058e-01,        -1.259699452361e-03,        +6.227395959147e+00,        +2.702107604172e-01,        +1.451074290487e-01,        +8.443712870598e-02,        +4.765899270686e+00,        -4.957880986815e+00,        +7.071067811865e+00,        +4.716071328944e+00,        -4.988187851201e+00,        +1.451074290488e-01,        +8.443712870598e-02,        +7.408421979659e+00,        -1.069422902194e+00,        +9.923107462964e-02,        +3.748572160453e-01,        +7.071067811865e+00,        +1.445751658645e-01,        +8.242593439472e-02,        +4.765899270686e+00,        -4.957880986815e+00,        +9.923107462969e-02,        +3.748572160453e-01,        +7.391766497885e+00,        -9.948649567047e-01
 3.46000000e+02,        +7.071067811865e+00,        +6.146699678235e+00,        +3.327530936777e-01,        +3.528942958318e-01,        -9.655043462136e-03,        +4.651331762183e+00,        -5.041280949351e+00,        +1.492136643365e-01,        +8.112937081938e-02,        +7.071067811865e+00,        +3.528942958318e-01,        -9.655043462136e-03,        +6.210918116648e+00,        +2.938032353214e-01,        +1.498216010867e-01,        +8.316002334128e-02,        +4.702531202261e+00,        -5.011380115818e+00,        +7.071067811865e+00,        +4.651331762183e+00,        -5.041280949351e+00,        +1.498216010867e-01,        +8.316002334128e-02,        +7.407775196754e+00,        -1.096572040436e+00,        +1.023265140091e-01,        +3.803043801705e-01,        +7.071067811865e+00,        +1.492136643365e-01,        +8.112937081939e-02,        +4.702531202261e+00,        -5.011380115818e+00,        +1.023265140091e-01,        +3.803043801705e-01,        +7.391267403160e+00,        -1.020250174250e+00
