        f (GHz),              E_elec[1] (J),               E_mag[1] (J),               E_cap[1] (J),               E_ind[1] (J),              E_elec[2] (J),               E_mag[2] (J),               E_cap[2] (J),               E_ind[2] (J),              E_elec[3] (J),               E_mag[3] (J),               E_cap[3] (J),               E_ind[3] (J),              E_elec[4] (J),               E_mag[4] (J),               E_cap[4] (J),               E_ind[4] (J)
 1.21000000e+02,        +2.004891125276e-13,        +1.678284987954e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.977822230039e-13,        +1.670194378353e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.072710000731e-13,        +1.606266095258e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.039218217639e-13,        +1.604202595711e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.26000000e+02,        +2.002801117322e-13,        +1.681902826261e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.975917488249e-13,        +1.673410741778e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.075682345336e-13,        +1.604095010793e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.041979512463e-13,        +1.602127262264e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.31000000e+02,        +2.000634806490e-13,        +1.685751906060e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.973943774339e-13,        +1.676842801129e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.078744157408e-13,        +1.601942875887e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.044825354565e-13,        +1.600073642190e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.36000000e+02,        +1.998391821566e-13,        +1.689823402551e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.971900780231e-13,        +1.680482177343e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.081892984696e-13,        +1.599803220969e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.047753536087e-13,        +1.598035506059e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.41000000e+02,        +1.996071859127e-13,        +1.694109436688e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.969788266481e-13,        +1.684321442174e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.085126333809e-13,        +1.597670465535e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.050761816056e-13,        +1.596007498478e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.46000000e+02,        +1.993674683880e-13,        +1.698602903687e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.967606062153e-13,        +1.688353942779e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.088441667337e-13,        +1.595539746712e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.053847918593e-13,        +1.593984961095e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.51000000e+02,        +1.991200128290e-13,        +1.703297318162e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.965354063726e-13,        +1.692573642923e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.091836404517e-13,        +1.593406786658e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.057009535397e-13,        +1.591963796323e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.56000000e+02,        +1.988648089992e-13,        +1.708186673371e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.963032231599e-13,        +1.696974979597e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.095307923514e-13,        +1.591267795028e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.060244330034e-13,        +1.589940369485e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.61000000e+02,        +1.986018526579e-13,        +1.713265318291e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.960640584003e-13,        +1.701552739678e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.098853563391e-13,        +1.589119401044e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.063549941502e-13,        +1.587911444228e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.66000000e+02,        +1.983311448628e-13,        +1.718527858149e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.958179189321e-13,        +1.706301962420e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.102470624553e-13,        +1.586958607340e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.066923985375e-13,        +1.585874142545e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.71000000e+02,        +1.980526912547e-13,        +1.723969081589e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.955648158526e-13,        +1.711217870288e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.106156367328e-13,        +1.584782756930e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.070364052077e-13,        +1.583825918987e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.76000000e+02,        +1.977665014791e-13,        +1.729583913010e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.953047639252e-13,        +1.716295825648e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.109908009276e-13,        +1.582589505890e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.073867703064e-13,        +1.581764539955e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.81000000e+02,        +1.974725888374e-13,        +1.735367384696e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.950377812382e-13,        +1.721531306907e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.113722722131e-13,        +1.580376797187e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.077432466211e-13,        +1.579688062294e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.86000000e+02,        +1.971709701850e-13,        +1.741314621767e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.947638891169e-13,        +1.726919896517e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.117597629269e-13,        +1.578142833931e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.081055831657e-13,        +1.577594809186e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.91000000e+02,        +1.968616660341e-13,        +1.747420833707e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.944831122429e-13,        +1.732457274409e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.121529804212e-13,        +1.575886052423e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.084735248907e-13,        +1.575483343922e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.96000000e+02,        +1.965447007989e-13,        +1.753681308136e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.941954789081e-13,        +1.738139212654e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.125516270351e-13,        +1.573605096130e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.088468125448e-13,        +1.573352443338e-13,        +0.000000000000e+00,        +0.000000000000e+00
 2.01000000e+02,        +1.962201031212e-13,        +1.760091404554e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.939010213419e-13,        +1.743961569358e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.129554001757e-13,        +1.571298791790e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.092251826790e-13,        +1.571201072659e-13,        +0.000000000000e+00,        +0.000000000000e+00
 2.06000000e+02,        +1.958879062305e-13,        +1.766646547280e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.935997760652e-13,        +1.749920281299e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.133639924889e-13,        +1.568966128379e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.096083677653e-13,        +1.569028362977e-13,        +0.000000000000e+00,        +0.000000000000e+00
 2.11000000e+02,        +1.955481483115e-13,        +1.773342217702e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.932917842458e-13,        +1.756011355654e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.137770920939e-13,        +1.566606239224e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.099960963959e-13,        +1.566833591926e-13,        +0.000000000000e+00,        +0.000000000000e+00
 2.16000000e+02,        +1.952008728663e-13,        +1.780173946281e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.929770920443e-13,        +1.762230861419e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.141943828614e-13,        +1.564218387168e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.103880935387e-13,        +1.564616167597e-13,        +0.000000000000e+00,        +0.000000000000e+00
 2.21000000e+02,        +1.948461290674e-13,        +1.787137304823e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.926557509489e-13,        +1.768574921123e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.146155447226e-13,        +1.561801952512e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.107840808255e-13,        +1.562375615452e-13,        +0.000000000000e+00,        +0.000000000000e+00
