        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.),             |S[2][1]| (dB),        arg(S[2][1]) (deg.),             |S[3][1]| (dB),        arg(S[3][1]) (deg.),             |S[4][1]| (dB),        arg(S[4][1]) (deg.),             |S[1][2]| (dB),        arg(S[1][2]) (deg.),             |S[2][2]| (dB),        arg(S[2][2]) (deg.),             |S[3][2]| (dB),        arg(S[3][2]) (deg.),             |S[4][2]| (dB),        arg(S[4][2]) (deg.),             |S[1][3]| (dB),        arg(S[1][3]) (deg.),             |S[2][3]| (dB),        arg(S[2][3]) (deg.),             |S[3][3]| (dB),        arg(S[3][3]) (deg.),             |S[4][3]| (dB),        arg(S[4][3]) (deg.),             |S[1][4]| (dB),        arg(S[1][4]) (deg.),             |S[2][4]| (dB),        arg(S[2][4]) (deg.),             |S[3][4]| (dB),        arg(S[3][4]) (deg.),             |S[4][4]| (dB),        arg(S[4][4]) (deg.)
 5.10000000e+01,        -4.035915834245e+01,        -6.964130473505e+01,        -4.194790430259e+01,        +6.671789943212e+01,        -7.447040424024e-02,        -6.977959877692e+00,        -5.099043880364e+01,        +1.095279846612e+02,        -4.194790430260e+01,        +6.671789943205e+01,        -4.091050745983e+01,        -6.638423196106e+01,        -5.097302145568e+01,        +1.096768686626e+02,        -7.397432631654e-02,        -6.913183557201e+00,        -7.447040424024e-02,        -6.977959877692e+00,        -5.097302145562e+01,        +1.096768686625e+02,        -3.714605929714e+01,        -4.595850472245e+01,        -4.179382013545e+01,        +7.830885137241e+01,        -5.099043880364e+01,        +1.095279846613e+02,        -7.397432631655e-02,        -6.913183557201e+00,        -4.179382013545e+01,        +7.830885137242e+01,        -3.762835500695e+01,        -4.402457575456e+01
 5.60000000e+01,        -3.972733863153e+01,        -7.536773559585e+01,        -4.119419547915e+01,        +6.621661208606e+01,        -7.616169181115e-02,        -7.650857762034e+00,        -5.022395099601e+01,        +1.064989938140e+02,        -4.119419547916e+01,        +6.621661208618e+01,        -4.032434928094e+01,        -7.221598443884e+01,        -5.020559232953e+01,        +1.066664719656e+02,        -7.561775907040e-02,        -7.579818001229e+00,        -7.616169181116e-02,        -7.650857762034e+00,        -5.020559232955e+01,        +1.066664719653e+02,        -3.636986760304e+01,        -4.780788131425e+01,        -4.103181479927e+01,        +7.890036350588e+01,        -5.022395099600e+01,        +1.064989938143e+02,        -7.561775907041e-02,        -7.579818001229e+00,        -4.103181479927e+01,        +7.890036350596e+01,        -3.687141266367e+01,        -4.597078632324e+01
 6.10000000e+01,        -3.909976876093e+01,        -8.074970629138e+01,        -4.049974206761e+01,        +6.561231173427e+01,        -7.779565413741e-02,        -8.323824479896e+00,        -4.950993640395e+01,        +1.037697923364e+02,        -4.049974206761e+01,        +6.561231173427e+01,        -3.973594985789e+01,        -7.772738597989e+01,        -4.949065541824e+01,        +1.039553871816e+02,        -7.720197760260e-02,        -8.246510634779e+00,        -7.779565413740e-02,        -8.323824479896e+00,        -4.949065541822e+01,        +1.039553871816e+02,        -3.563366880905e+01,        -4.936892703836e+01,        -4.032918798733e+01,        +7.938895657283e+01,        -4.950993640395e+01,        +1.037697923366e+02,        -7.720197760260e-02,        -8.246510634779e+00,        -4.032918798733e+01,        +7.938895657288e+01,        -3.615103267507e+01,        -4.762516861846e+01
 6.60000000e+01,        -3.847803122470e+01,        -8.581421809642e+01,        -3.985605243729e+01,        +6.492446971210e+01,        -7.939002864895e-02,        -8.996888348185e+00,        -4.884197178209e+01,        +1.012822304113e+02,        -3.985605243729e+01,        +6.492446971208e+01,        -3.914725521153e+01,        -8.293602688713e+01,        -4.882177785312e+01,        +1.014854502230e+02,        -7.874452056328e-02,        -8.913287628590e+00,        -7.939002864895e-02,        -8.996888348185e+00,        -4.882177785313e+01,        +1.014854502232e+02,        -3.493387655225e+01,        -5.069559980832e+01,        -3.967734505810e+01,        +7.979424581308e+01,        -4.884197178209e+01,        +1.012822304113e+02,        -7.874452056329e-02,        -8.913287628590e+00,        -3.967734505810e+01,        +7.979424581309e+01,        -3.546432408335e+01,        -4.904028354344e+01
 7.10000000e+01,        -3.786348209112e+01,        -9.058712604192e+01,        -3.925632792412e+01,        +6.416798470185e+01,        -8.095815461360e-02,        -9.670074008905e+00,        -4.821461902054e+01,        +9.899166981262e+01,        -3.925632792412e+01,        +6.416798470184e+01,        -3.856015054528e+01,        -8.786041993382e+01,        -4.819351455602e+01,        +9.921202464233e+01,        -8.025853269679e-02,        -9.580171490202e+00,        -8.095815461359e-02,        -9.670074008905e+00,        -4.819351455602e+01,        +9.921202464240e+01,        -3.426718519752e+01,        -5.183100826734e+01,        -3.906941205187e+01,        +8.013117147081e+01,        -4.821461902054e+01,        +9.899166981265e+01,        -8.025853269679e-02,        -9.580171490202e+00,        -3.906941205187e+01,        +8.013117147082e+01,        -3.480853041902e+01,        -5.025866541543e+01
 7.60000000e+01,        -3.725722446729e+01,        -9.509255067800e+01,        -3.869503928255e+01,        +6.335440205442e+01,        -8.251046262771e-02,        -1.034340481478e+01,        -4.762325801498e+01,        +9.686345604598e+01,        -3.869503928256e+01,        +6.335440205451e+01,        -3.797634367517e+01,        -9.251914543758e+01,        -4.760124036449e+01,        +9.710046466315e+01,        -8.175424350644e-02,        -1.024718347700e+01,        -8.251046262770e-02,        -1.034340481478e+01,        -4.760124036450e+01,        +9.710046466292e+01,        -3.363059623105e+01,        -5.280966501041e+01,        -3.849980537573e+01,        +8.041127216098e+01,        -4.762325801498e+01,        +9.686345604612e+01,        -8.175424350647e-02,        -1.024718347700e+01,        -3.849980537574e+01,        +8.041127216102e+01,        -3.418108412025e+01,        -5.131472228064e+01
 8.10000000e+01,        -3.666012013873e+01,        -9.935267218276e+01,        -3.816763021165e+01,        +6.249277865766e+01,        -8.405542898765e-02,        -1.101690357591e+01,        -4.706394597929e+01,        +9.487036470501e+01,        -3.816763021165e+01,        +6.249277865765e+01,        -3.739731641004e+01,        -9.693034323789e+01,        -4.704100883368e+01,        +9.512355680730e+01,        -8.323991671582e-02,        -1.091434436871e+01,        -8.405542898765e-02,        -1.101690357591e+01,        -4.704100883368e+01,        +9.512355680735e+01,        -3.302141583266e+01,        -5.365933246714e+01,        -3.796392972141e+01,        +8.064357876457e+01,        -4.706394597929e+01,        +9.487036470501e+01,        -8.323991671581e-02,        -1.091434436871e+01,        -3.796392972141e+01,        +8.064357876456e+01,        -3.357962925372e+01,        -5.223637087792e+01
 8.60000000e+01,        -3.607281721442e+01,        -1.033877240040e+02,        -3.767030334068e+01,        +6.159030336934e+01,        -8.560018834108e-02,        -1.169059266714e+01,        -4.653330179108e+01,        +9.299075446365e+01,        -3.767030334067e+01,        +6.159030336934e+01,        -3.682431443952e+01,        -1.011114128263e+02,        -4.650943623109e+01,        +9.325967055085e+01,        -8.472246120830e-02,        -1.158167459413e+01,        -8.560018834107e-02,        -1.169059266714e+01,        -4.650943623110e+01,        +9.325967055087e+01,        -3.243723781736e+01,        -5.440247981021e+01,        -3.745795973826e+01,        +8.083524966395e+01,        -4.653330179105e+01,        +9.299075446374e+01,        -8.472246120832e-02,        -1.158167459413e+01,        -3.745795973825e+01,        +8.083524966400e+01,        -3.300202516303e+01,        -5.304636851670e+01
 9.10000000e+01,        -3.549578225765e+01,        -1.072160859641e+02,        -3.719986201306e+01,        +6.065274659088e+01,        -8.715093108850e-02,        -1.236449393172e+01,        -4.602841174884e+01,        +9.120722475724e+01,        -3.719986201306e+01,        +6.065274659083e+01,        -3.625835782212e+01,        -1.050788439881e+02,        -4.600360704981e+01,        +9.149141496562e+01,        -8.620782835011e-02,        -1.224919414753e+01,        -8.715093108850e-02,        -1.236449393172e+01,        -4.600360704980e+01,        +9.149141496574e+01,        -3.187591991609e+01,        -5.505741342762e+01,        -3.697867862797e+01,        +8.099202721341e+01,        -4.602841174885e+01,        +9.120722475726e+01,        -8.620782835011e-02,        -1.224919414753e+01,        -3.697867862797e+01,        +8.099202721341e+01,        -3.244633911348e+01,        -5.376337019389e+01
 9.60000000e+01,        -3.492933137888e+01,        -1.108544218943e+02,        -3.675359107677e+01,        +5.968478927609e+01,        -8.871316576723e-02,        -1.303862855628e+01,        -4.554675289891e+01,        +8.950563259732e+01,        -3.675359107678e+01,        +5.968478927609e+01,        -3.570026145514e+01,        -1.088481316779e+02,        -4.552099716104e+01,        +8.980465520024e+01,        -8.770127505758e-02,        -1.291692247058e+01,        -8.871316576723e-02,        -1.303862855628e+01,        -4.552099716104e+01,        +8.980465520027e+01,        -3.133555783403e+01,        -5.563914847902e+01,        -3.652335662870e+01,        +8.111856937582e+01,        -4.554675289891e+01,        +8.950563259733e+01,        -8.770127505758e-02,        -1.291692247058e+01,        -3.652335662870e+01,        +8.111856937581e+01,        -3.191083302073e+01,        -5.440275781915e+01
