        f (GHz),            I_inc[1][1] (A),            Re{I[1][1]} (A),            Im{I[1][1]} (A),            Re{I[2][1]} (A),            Im{I[2][1]} (A),            Re{I[3][1]} (A),            Im{I[3][1]} (A),            Re{I[4][1]} (A),            Im{I[4][1]} (A),            I_inc[2][2] (A),            Re{I[1][2]} (A),            Im{I[1][2]} (A),            Re{I[2][2]} (A),            Im{I[2][2]} (A),            Re{I[3][2]} (A),            Im{I[3][2]} (A),            Re{I[4][2]} (A),            Im{I[4][2]} (A),            I_inc[3][3] (A),            Re{I[1][3]} (A),            Im{I[1][3]} (A),            Re{I[2][3]} (A),            Im{I[2][3]} (A),            Re{I[3][3]} (A),            Im{I[3][3]} (A),            Re{I[4][3]} (A),            Im{I[4][3]} (A),            I_inc[4][4] (A),            Re{I[1][4]} (A),            Im{I[1][4]} (A),            Re{I[2][4]} (A),            Im{I[2][4]} (A),            Re{I[3][4]} (A),            Im{I[3][4]} (A),            Re{I[4][4]} (A),            Im{I[4][4]} (A)
 2.51000000e+02,        +1.414213562373e-01,        +1.302648114411e-01,        -6.757567232796e-04,        +4.781290904321e-03,        +2.071292983566e-03,        +1.148696998290e-01,        -7.787068149375e-02,        +1.417051457970e-03,        +1.707623387391e-03,        +1.414213562373e-01,        +4.781290904322e-03,        +2.071292983566e-03,        +1.311551843169e-01,        -7.679830956217e-04,        +1.410128181253e-03,        +1.732926707021e-03,        +1.154139692141e-01,        -7.725158343179e-02,        +1.414213562373e-01,        +1.148696998290e-01,        -7.787068149375e-02,        +1.410128181253e-03,        +1.732926707021e-03,        +1.472277831143e-01,        -1.272781973169e-02,        +1.084156456331e-03,        +5.495138348283e-03,        +1.414213562373e-01,        +1.417051457971e-03,        +1.707623387391e-03,        +1.154139692141e-01,        -7.725158343179e-02,        +1.084156456332e-03,        +5.495138348283e-03,        +1.469301081047e-01,        -1.181479042029e-02
 2.56000000e+02,        +1.414213562373e-01,        +1.298598942486e-01,        -4.218998652208e-04,        +4.918422339878e-03,        +2.002113309686e-03,        +1.138745011758e-01,        -7.920961082605e-02,        +1.487455484366e-03,        +1.721418267616e-03,        +1.414213562373e-01,        +4.918422339878e-03,        +2.002113309686e-03,        +1.307759681904e-01,        -5.400291732283e-04,        +1.481017380692e-03,        +1.747744341425e-03,        +1.144409514608e-01,        -7.858558599583e-02,        +1.414213562373e-01,        +1.138745011758e-01,        -7.920961082605e-02,        +1.481017380693e-03,        +1.747744341426e-03,        +1.473253191054e-01,        -1.314876902102e-02,        +1.123928400879e-03,        +5.607216963574e-03,        +1.414213562373e-01,        +1.487455484367e-03,        +1.721418267616e-03,        +1.144409514608e-01,        -7.858558599583e-02,        +1.123928400879e-03,        +5.607216963573e-03,        +1.470221819598e-01,        -1.220705998677e-02
 2.61000000e+02,        +1.414213562373e-01,        +1.294545497936e-01,        -1.536297275561e-04,        +5.054756465158e-03,        +1.927366701658e-03,        +1.128612763169e-01,        -8.053574216776e-02,        +1.559357172768e-03,        +1.733537883981e-03,        +1.414213562373e-01,        +5.054756465158e-03,        +1.927366701659e-03,        +1.303960162236e-01,        -2.988457471437e-04,        +1.553459279516e-03,        +1.760882365143e-03,        +1.134503245301e-01,        -7.990734887249e-02,        +1.414213562373e-01,        +1.128612763169e-01,        -8.053574216776e-02,        +1.553459279516e-03,        +1.760882365143e-03,        +1.474189227357e-01,        -1.357712507368e-02,        +1.164845143662e-03,        +5.719306522425e-03,        +1.414213562373e-01,        +1.559357172768e-03,        +1.733537883980e-03,        +1.134503245301e-01,        -7.990734887249e-02,        +1.164845143662e-03,        +5.719306522425e-03,        +1.471106336385e-01,        -1.260628521158e-02
 2.66000000e+02,        +1.414213562373e-01,        +1.290492119940e-01,        +1.291463092744e-04,        +5.190102631098e-03,        +1.847033126004e-03,        +1.118301497725e-01,        -8.184877093159e-02,        +1.632737137602e-03,        +1.743920297383e-03,        +1.414213562373e-01,        +5.190102631097e-03,        +1.847033126003e-03,        +1.300157194468e-01,        -4.433830870911e-05,        +1.627435527146e-03,        +1.772275799604e-03,        +1.124422032844e-01,        -8.121658751377e-02,        +1.414213562373e-01,        +1.118301497725e-01,        -8.184877093159e-02,        +1.627435527146e-03,        +1.772275799605e-03,        +1.475083310626e-01,        -1.401285784766e-02,        +1.206921255448e-03,        +5.831388790519e-03,        +1.414213562373e-01,        +1.632737137601e-03,        +1.743920297383e-03,        +1.124422032844e-01,        -8.121658751377e-02,        +1.206921255448e-03,        +5.831388790518e-03,        +1.471952196633e-01,        -1.301244188317e-02
 2.71000000e+02,        +1.414213562373e-01,        +1.286443194718e-01,        +4.265092742774e-04,        +5.324267870469e-03,        +1.761097830039e-03,        +1.107812529296e-01,        -8.314839159741e-02,        +1.707573990982e-03,        +1.752503175457e-03,        +1.414213562373e-01,        +5.324267870468e-03,        +1.761097830039e-03,        +1.296354734209e-01,        +2.235775570700e-04,        +1.702925649604e-03,        +1.781859155935e-03,        +1.114167085526e-01,        -8.251301651042e-02,        +1.414213562373e-01,        +1.107812529296e-01,        -8.314839159741e-02,        +1.702925649604e-03,        +1.781859155935e-03,        +1.475932807603e-01,        -1.445592909280e-02,        +1.250170653959e-03,        +5.943444692097e-03,        +1.414213562373e-01,        +1.707573990982e-03,        +1.752503175456e-03,        +1.114167085526e-01,        -8.251301651042e-02,        +1.250170653959e-03,        +5.943444692096e-03,        +1.472756961091e-01,        -1.342549835250e-02
 2.76000000e+02,        +1.414213562373e-01,        +1.282403153015e-01,        +7.385284179963e-04,        +5.457057002954e-03,        +1.669551430645e-03,        +1.097147241461e-01,        -8.443429791848e-02,        +1.783844325871e-03,        +1.759223871028e-03,        +1.414213562373e-01,        +5.457057002954e-03,        +1.669551430645e-03,        +1.292556780395e-01,        +5.049760045886e-04,        +1.779907026215e-03,        +1.789566515182e-03,        +1.103739672144e-01,        -8.379634976017e-02,        +1.414213562373e-01,        +1.097147241461e-01,        -8.443429791848e-02,        +1.779907026216e-03,        +1.789566515182e-03,        +1.476735083969e-01,        -1.490629231806e-02,        +1.294606546196e-03,        +6.055454341207e-03,        +1.414213562373e-01,        +1.783844325872e-03,        +1.759223871029e-03,        +1.103739672144e-01,        -8.379634976017e-02,        +1.294606546197e-03,        +6.055454341207e-03,        +1.473518188514e-01,        -1.384541550464e-02
 2.81000000e+02,        +1.414213562373e-01,        +1.278376467537e-01,        +1.065261032281e-03,        +5.588272739822e-03,        +1.572389998397e-03,        +1.086307088450e-01,        -8.570618313314e-02,        +1.861522705705e-03,        +1.764019500354e-03,        +1.414213562373e-01,        +5.588272739821e-03,        +1.572389998397e-03,        +1.288767373287e-01,        +7.999207662581e-04,        +1.858354872719e-03,        +1.795331608309e-03,        +1.093141122762e-01,        -8.506630063983e-02,        +1.414213562373e-01,        +1.086307088450e-01,        -8.570618313314e-02,        +1.858354872719e-03,        +1.795331608309e-03,        +1.477487507144e-01,        -1.536389277051e-02,        +1.340241371137e-03,        +6.167397078011e-03,        +1.414213562373e-01,        +1.861522705705e-03,        +1.764019500353e-03,        +1.093141122762e-01,        -8.506630063983e-02,        +1.340241371137e-03,        +6.167397078011e-03,        +1.474233438145e-01,        -1.427214674062e-02
 2.86000000e+02,        +1.414213562373e-01,        +1.274367650324e-01,        +1.406752278259e-03,        +5.717715787339e-03,        +1.469615136959e-03,        +1.075293595977e-01,        -8.696374018103e-02,        +1.940581660716e-03,        +1.766827020624e-03,        +1.414213562373e-01,        +5.717715787340e-03,        +1.469615136959e-03,        +1.284990592421e-01,        +1.108464996996e-03,        +1.938242230926e-03,        +1.799087895354e-03,        +1.082372829387e-01,        -8.632258218069e-02,        +1.414213562373e-01,        +1.075293595977e-01,        -8.696374018103e-02,        +1.938242230925e-03,        +1.799087895354e-03,        +1.478187449098e-01,        -1.582866742651e-02,        +1.387086743069e-03,        +6.279251510432e-03,        +1.414213562373e-01,        +1.940581660717e-03,        +1.766827020625e-03,        +1.082372829387e-01,        -8.632258218069e-02,        +1.387086743069e-03,        +6.279251510432e-03,        +1.474900272220e-01,        -1.470563796979e-02
 2.91000000e+02,        +1.414213562373e-01,        +1.270381250090e-01,        +1.763035022992e-03,        +5.845184947977e-03,        +1.361234057755e-03,        +1.064108361975e-01,        -8.820666192307e-02,        +2.020991691164e-03,        +1.767583306146e-03,        +1.414213562373e-01,        +5.845184947977e-03,        +1.361234057755e-03,        +1.281230554538e-01,        +1.430651124918e-03,        +2.019539965055e-03,        +1.800768643177e-03,        +1.071436246555e-01,        -8.756490724649e-02,        +1.414213562373e-01,        +1.064108361975e-01,        -8.820666192307e-02,        +2.019539965054e-03,        +1.800768643176e-03,        +1.478832289166e-01,        -1.630054499535e-02,        +1.435153395917e-03,        +6.390995561378e-03,        +1.414213562373e-01,        +2.020991691164e-03,        +1.767583306146e-03,        +1.071436246555e-01,        -8.756490724649e-02,        +1.435153395917e-03,        +6.390995561378e-03,        +1.475516258466e-01,        -1.514582761304e-02
 2.96000000e+02,        +1.414213562373e-01,        +1.266421849524e-01,        +2.134129685253e-03,        +5.970477218397e-03,        +1.247259650038e-03,        +1.052753057204e-01,        -8.943464136423e-02,        +2.102721277704e-03,        +1.766225222569e-03,        +1.414213562373e-01,        +5.970477218396e-03,        +1.247259650038e-03,        +1.277491411509e-01,        +1.766510708463e-03,        +2.102216764850e-03,        +1.800307001169e-03,        +1.060332891812e-01,        -8.879298871303e-02,        +1.414213562373e-01,        +1.052753057204e-01,        -8.943464136423e-02,        +2.102216764851e-03,        +1.800307001169e-03,        +1.479419416863e-01,        -1.677944593549e-02,        +1.484451128953e-03,        +6.502606521870e-03,        +1.414213562373e-01,        +2.102721277703e-03,        +1.766225222569e-03,        +1.060332891812e-01,        -8.879298871303e-02,        +1.484451128953e-03,        +6.502606521870e-03,        +1.476078972610e-01,        -1.559264661710e-02
 3.01000000e+02,        +1.414213562373e-01,        +1.262494062584e-01,        +2.520044090736e-03,        +6.093387883150e-03,        +1.127710546576e-03,        +1.041229425741e-01,        -9.064737187786e-02,        +2.185736899124e-03,        +1.762689698424e-03,        +1.414213562373e-01,        +6.093387883149e-03,        +1.127710546576e-03,        +1.273777348234e-01,        +2.116064300220e-03,        +2.186239155629e-03,        +1.797636074245e-03,        +1.049064346099e-01,        -9.000653964852e-02,        +1.414213562373e-01,        +1.041229425741e-01,        -9.064737187786e-02,        +2.186239155629e-03,        +1.797636074245e-03,        +1.479946234695e-01,        -1.726528248394e-02,        +1.534988754369e-03,        +6.614061110368e-03,        +1.414213562373e-01,        +2.185736899124e-03,        +1.762689698424e-03,        +1.049064346099e-01,        -9.000653964852e-02,        +1.534988754369e-03,        +6.614061110367e-03,        +1.476586000881e-01,        -1.604601848036e-02
 3.06000000e+02,        +1.414213562373e-01,        +1.258602531778e-01,        +2.920773336914e-03,        +6.213710602940e-03,        +1.002611185313e-03,        +1.029539285347e-01,        -9.184454743049e-02,        +2.270003057666e-03,        +1.756913793175e-03,        +1.414213562373e-01,        +6.213710602940e-03,        +1.002611185314e-03,        +1.270092580575e-01,        +2.479321317519e-03,        +2.271571515348e-03,        +1.792688992366e-03,        +1.037632254026e-01,        -9.120527349354e-02,        +1.414213562373e-01,        +1.029539285347e-01,        -9.184454743049e-02,        +2.271571515349e-03,        +1.792688992366e-03,        +1.480410160950e-01,        -1.775795869853e-02,        +1.586774047270e-03,        +6.725335538620e-03,        +1.414213562373e-01,        +2.270003057665e-03,        +1.756913793175e-03,        +1.037632254026e-01,        -9.120527349354e-02,        +1.586774047270e-03,        +6.725335538619e-03,        +1.477034942497e-01,        -1.650585929026e-02
 3.11000000e+02,        +1.414213562373e-01,        +1.254751925466e-01,        +3.336299667570e-03,        +6.331237496256e-03,        +8.719918674411e-04,        +1.017684527697e-01,        -9.302586280568e-02,        +2.355482312153e-03,        +1.748834760816e-03,        +1.414213562373e-01,        +6.331237496256e-03,        +8.719918674410e-04,        +1.266441353292e-01,        +2.856279919825e-03,        +2.358176098894e-03,        +1.785398975783e-03,        +1.026038324039e-01,        -9.238890423939e-02,        +1.414213562373e-01,        +1.017684527697e-01,        -9.302586280568e-02,        +2.358176098895e-03,        +1.785398975783e-03,        +1.480808632476e-01,        -1.825737051357e-02,        +1.639813698760e-03,        +6.836405584326e-03,        +1.414213562373e-01,        +2.355482312153e-03,        +1.748834760816e-03,        +1.026038324039e-01,        -9.238890423939e-02,        +1.639813698761e-03,        +6.836405584327e-03,        +1.477423412142e-01,        -1.697207777275e-02
 3.16000000e+02,        +1.414213562373e-01,        +1.250946935192e-01,        +3.766592356806e-03,        +6.445759213071e-03,        +7.358888124648e-04,        +1.005667118491e-01,        -9.419101382562e-02,        +2.442135319067e-03,        +1.738390107970e-03,        +1.414213562373e-01,        +6.445759213070e-03,        +7.358888124654e-04,        +1.262827938030e-01,        +3.246926892684e-03,        +2.446013069656e-03,        +1.775699395014e-03,        +1.014284328473e-01,        -9.355714660375e-02,        +1.414213562373e-01,        +1.005667118491e-01,        -9.419101382562e-02,        +2.446013069656e-03,        +1.775699395013e-03,        +1.481139107414e-01,        -1.876340580889e-02,        +1.694113272850e-03,        +6.947246670872e-03,        +1.414213562373e-01,        +2.442135319067e-03,        +1.738390107970e-03,        +1.014284328473e-01,        -9.355714660375e-02,        +1.694113272850e-03,        +6.947246670872e-03,        +1.477749042415e-01,        -1.744457535403e-02
 3.21000000e+02,        +1.414213562373e-01,        +1.247192273063e-01,        +4.211607602128e-03,        +6.557064999230e-03,        +5.943442109584e-04,        +9.934890974216e-02,        -9.533969756898e-02,        +2.529920881697e-03,        +1.725517645259e-03,        +1.414213562373e-01,        +6.557064999231e-03,        +5.943442109579e-04,        +1.259256631358e-01,        +3.651237537835e-03,        +2.535040538538e-03,        +1.763523824455e-03,        +1.002372103495e-01,        -9.470971620203e-02,        +1.414213562373e-01,        +9.934890974216e-02,        -9.533969756898e-02,        +2.535040538537e-03,        +1.763523824455e-03,        +1.481399067915e-01,        -1.927594449244e-02,        +1.749677168049e-03,        +7.057833954337e-03,        +1.414213562373e-01,        +2.529920881697e-03,        +1.725517645259e-03,        +1.002372103495e-01,        -9.470971620203e-02,        +1.749677168050e-03,        +7.057833954337e-03,        +1.478009486251e-01,        -1.792324623487e-02
 3.26000000e+02,        +1.414213562373e-01,        +1.243492669205e-01,        +4.671288425890e-03,        +6.664942750010e-03,        +4.474062758631e-04,        +9.811525780210e-02,        -9.647161258346e-02,        +2.618796007345e-03,        +1.710155530567e-03,        +1.414213562373e-01,        +6.664942750010e-03,        +4.474062758632e-04,        +1.255731752888e-01,        +4.069175568783e-03,        +2.625214610396e-03,        +1.748806088362e-03,        +9.903035489300e-02,        -9.584632971321e-02,        +1.414213562373e-01,        +9.811525780210e-02,        -9.647161258346e-02,        +2.625214610396e-03,        +1.748806088362e-03,        +1.481586022789e-01,        -1.979485859670e-02,        +1.806508584541e-03,        +7.168142417923e-03,        +1.414213562373e-01,        +2.618796007345e-03,        +1.710155530567e-03,        +9.903035489300e-02,        -9.584632971321e-02,        +1.806508584541e-03,        +7.168142417923e-03,        +1.478202419304e-01,        -1.840797747778e-02
 3.31000000e+02,        +1.414213562373e-01,        +1.239852869309e-01,        +5.145564584131e-03,        +6.769179051168e-03,        +2.951292933933e-04,        +9.686597473703e-02,        -9.758645909150e-02,        +2.708715972492e-03,        +1.692242302686e-03,        +1.414213562373e-01,        +6.769179051167e-03,        +2.951292933934e-04,        +1.252257643491e-01,        +4.500693010808e-03,        +2.716489437846e-03,        +1.731480297694e-03,        +9.780806279800e-02,        -9.696670503852e-02,        +1.414213562373e-01,        +9.686597473703e-02,        -9.758645909150e-02,        +2.716489437846e-03,        +1.731480297694e-03,        +1.481697510116e-01,        -2.032001238906e-02,        +1.864609497957e-03,        +7.278146973870e-03,        +1.414213562373e-01,        +2.708715972492e-03,        +1.692242302687e-03,        +9.780806279800e-02,        -9.696670503852e-02,        +1.864609497957e-03,        +7.278146973871e-03,        +1.478325542274e-01,        -1.889864910750e-02
 3.36000000e+02,        +1.414213562373e-01,        +1.236277632291e-01,        +5.634352481490e-03,        +6.869559205673e-03,        +1.375736748471e-04,        +9.560128656872e-02,        -9.868393918741e-02,        +2.799634395623e-03,        +1.671716903644e-03,        +1.414213562373e-01,        +6.869559205674e-03,        +1.375736748469e-04,        +1.248838663629e-01,        +4.945730104111e-03,        +2.808817282181e-03,        +1.711480876233e-03,        +9.657053668276e-02,        -9.807056145131e-02,        +1.414213562373e-01,        +9.560128656872e-02,        -9.868393918741e-02,        +2.808817282180e-03,        +1.711480876234e-03,        +1.481731099780e-01,        -2.085126249637e-02,        +1.923980640789e-03,        +7.387822572869e-03,        +1.414213562373e-01,        +2.799634395623e-03,        +1.671716903644e-03,        +9.657053668276e-02,        -9.807056145131e-02,        +1.923980640790e-03,        +7.387822572868e-03,        +1.478376583184e-01,        -1.939513422479e-02
 3.41000000e+02,        +1.414213562373e-01,        +1.232771728094e-01,        +6.137555090546e-03,        +6.965867244116e-03,        -2.519398904738e-05,        +9.432142657888e-02,        -9.976375702402e-02,        +2.891503317290e-03,        +1.648518687895e-03,        +1.414213562373e-01,        +6.965867244116e-03,        -2.519398904722e-05,        +1.245479191829e-01,        +5.404215208344e-03,        +2.902148580975e-03,        +1.688742574120e-03,        +9.531798541372e-02,        -9.915761973630e-02,        +1.414213562373e-01,        +9.432142657888e-02,        -9.976375702402e-02,        +2.902148580975e-03,        +1.688742574120e-03,        +1.481684395932e-01,        -2.138845804388e-02,        +1.984621492593e-03,        +7.497144320906e-03,        +1.414213562373e-01,        +2.891503317290e-03,        +1.648518687894e-03,        +9.531798541372e-02,        -9.915761973630e-02,        +1.984621492594e-03,        +7.497144320905e-03,        +1.478353299577e-01,        -1.989729913409e-02
 3.46000000e+02,        +1.414213562373e-01,        +1.229339935647e-01,        +6.655061873555e-03,        +7.057885916636e-03,        -1.931008692427e-04,        +9.302663524367e-02,        -1.008256189870e-01,        +2.984273286730e-03,        +1.622587416388e-03,        +1.414213562373e-01,        +7.057885916636e-03,        -1.931008692427e-04,        +1.242183623330e-01,        +5.876064706427e-03,        +2.996432021735e-03,        +1.663200466826e-03,        +9.405062404522e-02,        -1.002276023164e-01,        +1.414213562373e-01,        +9.302663524367e-02,        -1.008256189870e-01,        +2.996432021735e-03,        +1.663200466826e-03,        +1.481555039351e-01,        -2.193144080872e-02,        +2.046530280182e-03,        +7.606087603411e-03,        +1.414213562373e-01,        +2.984273286730e-03,        +1.622587416388e-03,        +9.405062404522e-02,        -1.002276023164e-01,        +2.046530280182e-03,        +7.606087603411e-03,        +1.478253480632e-01,        -2.040500348500e-02
